bgg_id,score,score_weighted,rank_weighted,rank
295293,0.0215686,0.0180723,7227,6735
22861,0.0215686,0.0174651,7310,6736
251433,0.0215123,0.0280193,6187,6737
2412,0.0215123,0.0196595,7000,6738
118247,0.0214867,0.021003,6847,6739
129614,0.0214816,0.0246245,6472,6740
1543,0.0214765,0.0178407,7255,6741
1463,0.0214714,0.0203384,6908,6742
220193,0.0214714,0.0173017,7335,6743
61028,0.021456,0.0247979,6451,6744
679,0.021456,0.0220001,6739,6745
4884,0.0214458,0.0230567,6620,6746
15069,0.0214407,0.0240273,6523,6747
3230,0.0214407,0.0237807,6542,6748
220380,0.0214356,0.0198415,6977,6749
4008,0.0214305,0.0215893,6781,6750
291334,0.0214202,0.0223823,6694,6751
139769,0.0214202,0.0211418,6831,6752
12188,0.0213896,0.0273379,6239,6753
6700,0.0213844,0.0224503,6689,6754
287780,0.0213844,0.0224461,6690,6755
342010,0.0213742,0.0216028,6778,6756
459,0.0213691,0.0252804,6408,6757
64204,0.021364,0.0162715,7480,6758
75360,0.0213589,0.0309898,5963,6759
84989,0.0213486,0.0250601,6434,6760
344,0.0213435,0.0306409,5988,6761
2298,0.0213333,0.0236336,6558,6762
3413,0.0213282,0.0261677,6337,6763
156786,0.0213179,0.0174014,7318,6764
260264,0.0213128,0.0200518,6944,6765
294175,0.0213077,0.0158929,7541,6766
256085,0.0212975,0.0178737,7252,6767
6202,0.0212924,0.0233974,6579,6768
167404,0.0212924,0.020228,6925,6769
4050,0.0212873,0.0217281,6756,6770
302917,0.0212821,0.0211055,6836,6771
255678,0.021277,0.0202252,6926,6772
172164,0.0212515,0.0211118,6835,6773
274471,0.0212515,0.0168225,7396,6774
249833,0.0212412,0.0171476,7349,6775
274234,0.021231,0.0211219,6833,6776
75333,0.0212208,0.026173,6334,6777
4671,0.0212157,0.0191926,7065,6778
980,0.0211952,0.018725,7137,6779
310726,0.0211901,0.0253914,6397,6780
32005,0.021185,0.0233516,6586,6781
41052,0.0211645,0.0241647,6510,6782
142085,0.0211594,0.0293964,6065,6783
87200,0.0211594,0.0245832,6477,6784
97939,0.0211543,0.0224771,6686,6785
539,0.0211492,0.0188495,7114,6786
2301,0.021144,0.0187502,7134,6787
6942,0.0211389,0.0209299,6854,6788
12135,0.0211185,0.0250969,6433,6789
163119,0.0211185,0.0165339,7445,6790
163056,0.0211134,0.0280958,6180,6791
204575,0.0211134,0.0233546,6584,6792
5635,0.0211082,0.021172,6825,6793
239452,0.0210878,0.0186901,7145,6794
124706,0.0210673,0.0194315,7027,6795
22863,0.0210571,0.0241005,6517,6796
1304,0.021052,0.0192496,7050,6797
177861,0.0210469,0.026088,6342,6798
195544,0.0210469,0.020752,6868,6799
231125,0.0210418,0.0222112,6714,6800
247394,0.0210366,0.0214007,6805,6801
39088,0.0210315,0.0206116,6882,6802
169649,0.0210264,0.0243422,6493,6803
140101,0.0210111,0.0226039,6670,6804
13512,0.0210111,0.0192206,7059,6805
176334,0.021006,0.0222817,6707,6806
38553,0.0210008,0.0229792,6630,6807
197269,0.0209957,0.0258108,6367,6808
21182,0.0209753,0.0234742,6572,6809
230966,0.0209702,0.0193445,7035,6810
7483,0.020965,0.0243649,6491,6811
177249,0.020965,0.0181554,7214,6812
397,0.0209395,0.0213017,6817,6813
268665,0.0209241,0.0192506,7049,6814
221977,0.020919,0.0185931,7156,6815
13230,0.020919,0.0166424,7427,6816
318195,0.0209139,0.0199321,6954,6817
27155,0.0209139,0.0181805,7210,6818
97377,0.0209088,0.0241501,6513,6819
67185,0.0209037,0.02579,6369,6820
398,0.0208934,0.0297664,6037,6821
870,0.0208832,0.0234216,6575,6822
2123,0.0208832,0.0183739,7180,6823
225214,0.0208781,0.0226009,6672,6824
144632,0.0208679,0.0210532,6841,6825
25114,0.0208525,0.0257334,6374,6826
321596,0.0208525,0.0184092,7175,6827
283805,0.0208525,0.0183231,7189,6828
202288,0.0208474,0.0262465,6327,6829
188325,0.0208474,0.0239256,6532,6830
17030,0.0208269,0.022877,6640,6831
173452,0.0208269,0.021667,6767,6832
211453,0.0208269,0.019383,7031,6833
1459,0.0208218,0.0224973,6684,6834
266756,0.0208014,0.0245371,6481,6835
229956,0.0207707,0.0263489,6317,6836
207202,0.0207553,0.0206863,6872,6837
34334,0.02074,0.0277463,6201,6838
65825,0.0207298,0.0311486,5941,6839
284446,0.0207195,0.021002,6848,6840
226254,0.0207093,0.028808,6107,6841
147194,0.0206991,0.0197365,6991,6842
6578,0.0206991,0.0166624,7422,6843
63758,0.0206888,0.0313837,5918,6844
322709,0.0206888,0.0184669,7167,6845
265912,0.0206837,0.0156537,7579,6846
233006,0.0206786,0.0223227,6701,6847
207242,0.0206786,0.0221743,6719,6848
314395,0.0206633,0.0192781,7046,6849
144270,0.0206428,0.0228573,6644,6850
90050,0.0206428,0.0167647,7406,6851
56886,0.0206377,0.0216182,6776,6852
189506,0.0206275,0.0221376,6725,6853
1877,0.0206224,0.0205521,6889,6854
158237,0.0206172,0.0241938,6508,6855
151683,0.0206172,0.0205362,6892,6856
220738,0.0206172,0.0185228,7163,6857
252277,0.0206121,0.016105,7505,6858
164110,0.0205968,0.017522,7303,6859
5177,0.0205814,0.0175185,7304,6860
11646,0.0205763,0.0260935,6341,6861
265399,0.0205763,0.0182846,7195,6862
341358,0.0205712,0.0192845,7045,6863
327711,0.020561,0.0159223,7535,6864
172006,0.0205559,0.0229484,6632,6865
274178,0.0205507,0.0218829,6744,6866
14,0.0205456,0.0284518,6154,6867
113,0.0205456,0.0256012,6383,6868
3641,0.0205456,0.0202696,6916,6869
215436,0.0205354,0.0226607,6660,6870
314252,0.0205303,0.0184189,7172,6871
13212,0.0205252,0.0222468,6710,6872
230860,0.0205149,0.019291,7044,6873
8096,0.0204996,0.0229267,6636,6874
255020,0.0204996,0.0177113,7281,6875
2079,0.0204843,0.0226078,6669,6876
19948,0.0204791,0.0210427,6843,6877
257077,0.020474,0.0273969,6231,6878
251722,0.0204433,0.0176605,7287,6879
56320,0.020428,0.0251486,6427,6880
93541,0.020428,0.0210554,6840,6881
308948,0.0204229,0.0206243,6880,6882
22278,0.0204229,0.0196439,7003,6883
218200,0.0204178,0.0211888,6824,6884
211,0.0204178,0.0199973,6947,6885
770,0.0204024,0.0191324,7072,6886
271837,0.0203922,0.0236112,6560,6887
9041,0.020382,0.017724,7279,6888
299105,0.0203717,0.022921,6638,6889
647,0.0203615,0.0226429,6665,6890
3499,0.0203359,0.0151983,7649,6891
210900,0.0203206,0.0218127,6753,6892
144290,0.0203155,0.0190295,7090,6893
4279,0.0203155,0.0148138,7728,6894
923,0.0202848,0.0185213,7165,6895
157521,0.0202797,0.0276831,6205,6896
164259,0.0202694,0.020557,6888,6897
6642,0.0202234,0.0233745,6580,6898
1668,0.0202132,0.0243217,6496,6899
39832,0.0202132,0.0234844,6570,6900
3139,0.0201978,0.0216284,6772,6901
3422,0.0201876,0.0166069,7434,6902
193105,0.0201723,0.0192016,7061,6903
10829,0.0201671,0.0240794,6519,6904
10283,0.0201671,0.0195623,7011,6905
382,0.0201518,0.0217022,6761,6906
213370,0.0201518,0.021318,6813,6907
259069,0.0201365,0.0177338,7277,6908
5042,0.0201262,0.0201428,6936,6909
6283,0.0201262,0.0170019,7368,6910
203624,0.020116,0.0204679,6899,6911
17971,0.020116,0.0182156,7205,6912
1157,0.020116,0.0177898,7265,6913
322283,0.0201058,0.0198771,6971,6914
291,0.0200904,0.0173844,7321,6915
154526,0.0200802,0.0226448,6664,6916
144761,0.0200751,0.0222099,6715,6917
42727,0.0200546,0.0183099,7192,6918
269420,0.0200495,0.01843,7168,6919
8920,0.0200444,0.0247926,6452,6920
131682,0.0200444,0.0217472,6755,6921
257160,0.0200444,0.0199139,6960,6922
289550,0.0200393,0.0251361,6429,6923
2819,0.0200393,0.014125,7849,6924
245532,0.0200342,0.0263486,6318,6925
7634,0.0200291,0.0202065,6929,6926
223312,0.0200239,0.0169953,7372,6927
146963,0.0200188,0.0245457,6479,6928
55250,0.0200188,0.0208076,6860,6929
217020,0.0199984,0.0178023,7260,6930
335528,0.0199984,0.0155103,7598,6931
72204,0.0199881,0.0225845,6674,6932
256998,0.019983,0.0207392,6869,6933
121615,0.019983,0.0192305,7055,6934
214758,0.0199677,0.0242549,6503,6935
150049,0.0199421,0.0178844,7250,6936
296985,0.0199268,0.0184144,7174,6937
207330,0.0199165,0.0272891,6243,6938
203321,0.0198961,0.0273896,6233,6939
2994,0.0198807,0.0174967,7307,6940
67593,0.0198756,0.0199562,6950,6941
240835,0.0198705,0.0245482,6478,6942
236143,0.0198654,0.0165064,7453,6943
125634,0.0198603,0.0189264,7105,6944
154182,0.0198552,0.0257224,6375,6945
163040,0.0198398,0.0157434,7566,6946
302991,0.0198193,0.0175327,7301,6947
192,0.0198142,0.0206297,6878,6948
3133,0.0198091,0.0173038,7334,6949
276296,0.0197887,0.0196188,7005,6950
163310,0.019758,0.0198997,6964,6951
9143,0.0197426,0.02055,6890,6952
171129,0.0197426,0.0177762,7266,6953
159011,0.0197426,0.0167032,7416,6954
147445,0.0197324,0.0162069,7490,6955
304450,0.0197273,0.019075,7080,6956
258154,0.0197222,0.0196402,7004,6957
60464,0.0197222,0.0177441,7273,6958
162476,0.0197171,0.0171724,7343,6959
307971,0.0197068,0.0218602,6749,6960
266771,0.0197017,0.0168056,7399,6961
127095,0.0196761,0.0244707,6486,6962
140779,0.0196761,0.0205794,6885,6963
248927,0.019671,0.0197602,6990,6964
254157,0.019671,0.0177728,7268,6965
263894,0.0196608,0.0202427,6921,6966
163937,0.0196557,0.0226036,6671,6967
189030,0.0196557,0.0169488,7379,6968
4,0.0196506,0.0194649,7023,6969
258041,0.0196455,0.0247394,6458,6970
313531,0.0196455,0.0211223,6832,6971
221371,0.0196352,0.0194366,7026,6972
35457,0.0196301,0.0223977,6692,6973
136143,0.019625,0.0140555,7864,6974
228409,0.0196199,0.0190585,7084,6975
301002,0.0195892,0.0171349,7353,6976
160964,0.019579,0.0196084,7007,6977
165662,0.0195585,0.0196642,6998,6978
181345,0.0195585,0.0176027,7299,6979
142334,0.0195585,0.0165952,7437,6980
249673,0.0195534,0.0174946,7308,6981
242879,0.0195534,0.0150881,7667,6982
24627,0.019538,0.0169942,7373,6983
80869,0.0195329,0.0205463,6891,6984
181236,0.0195329,0.0204984,6895,6985
42361,0.0195278,0.0207886,6864,6986
185104,0.0195125,0.0125299,8121,6987
315954,0.0195074,0.0169598,7377,6988
284111,0.0195022,0.0141491,7841,6989
285208,0.0194971,0.0188787,7110,6990
